time,trend,seasonal,residual,time_series
1991-01-01,,13.72536787354391,,6.0
1991-02-01,,-5.49600309419803,,25.0
1991-03-01,,-12.15393320172491,,130.0
1991-04-01,,4.161927013328851,,47.0
1991-05-01,,-11.39318051355287,,45.0
1991-06-01,,-26.362266535058247,,23.0
1991-07-01,45.20833333333333,-43.68532181059588,-0.5230115227374483,1.0
1991-08-01,46.166666666666664,-39.061233268929215,3.8945666022625502,11.0
1991-09-01,42.58333333333333,17.851174325156812,6.565492341509859,67.0
1991-10-01,37.87499999999999,43.24324421762993,72.88175578237008,154.0
1991-11-01,36.708333333333336,42.67523346494175,-56.38356679827508,23.0
1991-12-01,39.041666666666664,16.494991529457884,-55.53665819612455,0.0
1992-01-01,41.79166666666667,13.72536787354391,-28.51703454021058,27.0
1992-02-01,41.958333333333336,-5.49600309419803,-9.462330239135305,27.0
1992-03-01,43.16666666666666,-12.15393320172491,10.987266535058254,42.0
1992-04-01,42.45833333333333,4.161927013328851,-24.620260346662178,22.0
1992-05-01,40.41666666666667,-11.39318051355287,12.9765138468862,42.0
1992-06-01,41.5,-26.362266535058247,66.86226653505824,82.0
1992-07-01,41.58333333333333,-43.68532181059588,10.101988477262552,8.0
1992-08-01,41.416666666666664,-39.061233268929215,5.64456660226255,8.0
1992-09-01,41.54166666666666,17.851174325156812,39.60715900817653,99.0
1992-10-01,44.416666666666664,43.24324421762993,17.340089115703407,105.0
1992-11-01,46.583333333333336,42.67523346494175,-66.25856679827508,23.0
1992-12-01,42.75,16.494991529457884,-33.244991529457884,26.0
1993-01-01,40.166666666666664,13.72536787354391,-50.892034540210574,3.0
1993-02-01,40.25000000000001,-5.49600309419803,12.246003094198024,47.0
1993-03-01,41.41666666666666,-12.15393320172491,-4.262733464941746,25.0
1993-04-01,42.916666666666664,4.161927013328851,60.92140632000449,108.0
1993-05-01,46.58333333333333,-11.39318051355287,-27.190152819780458,8.0
1993-06-01,49.37499999999999,-26.362266535058247,0.9872665350582537,24.0
1993-07-01,51.91666666666667,-43.68532181059588,-4.231344856070791,4.0
1993-08-01,57.29166666666666,-39.061233268929215,-4.230433397737443,14.0
1993-09-01,58.79166666666666,17.851174325156812,44.35715900817653,121.0
1993-10-01,56.333333333333336,43.24324421762993,19.423422449036735,119.0
1993-11-01,55.291666666666664,42.67523346494175,-0.966900131608412,97.0
1993-12-01,56.99999999999999,16.494991529457884,-54.49499152945788,19.0
1994-01-01,58.20833333333332,13.72536787354391,-0.933701206877231,71.0
1994-02-01,57.49999999999999,-5.49600309419803,55.99600309419804,108.0
1994-03-01,57.12499999999999,-12.15393320172491,-44.97106679827508,0.0
1994-04-01,55.49999999999999,4.161927013328851,14.338072986671156,74.0
1994-05-01,54.5,-11.39318051355287,-26.10681948644713,17.0
1994-06-01,54.958333333333336,-26.362266535058247,27.40393320172491,56.0
1994-07-01,53.00000000000001,-43.68532181059588,-8.314678189404127,1.0
1994-08-01,48.291666666666664,-39.061233268929215,-9.23043339773745,0.0
1994-09-01,45.58333333333333,17.851174325156812,62.56549234150986,126.0
1994-10-01,48.12500000000001,43.24324421762993,-16.368244217629936,75.0
1994-11-01,51.666666666666664,42.67523346494175,22.658099868391595,117.0
1994-12-01,50.75,16.494991529457884,-57.244991529457884,10.0
1995-01-01,48.625,13.72536787354391,-29.35036787354391,33.0
1995-02-01,50.416666666666664,-5.49600309419803,-11.920663572468634,33.0
1995-03-01,51.20833333333333,-12.15393320172491,-29.054400131608418,10.0
1995-04-01,48.83333333333333,4.161927013328851,72.00473965333782,125.0
1995-05-01,46.666666666666664,-11.39318051355287,15.726513846886206,51.0
1995-06-01,51.29166666666667,-26.362266535058247,-24.929400131608425,0.0
1995-07-01,62.125,-43.68532181059588,-12.43967818940412,6.0
1995-08-01,69.16666666666667,-39.061233268929215,7.894566602262543,38.0
1995-09-01,72.08333333333333,17.851174325156812,17.06549234150986,107.0
1995-10-01,70.54166666666666,43.24324421762993,-76.78491088429658,37.0
1995-11-01,65.54166666666667,42.67523346494175,-5.216900131608419,103.0
1995-12-01,65.12500000000001,16.494991529457884,53.3800084705421,135.0
1996-01-01,66.66666666666667,13.72536787354391,87.60796545978943,168.0
1996-02-01,65.91666666666667,-5.49600309419803,6.579336427531358,67.0
1996-03-01,67.50000000000001,-12.15393320172491,-9.346066798275103,46.0
1996-04-01,71.875,4.161927013328851,-24.03692701332885,52.0
1996-05-01,73.75000000000001,-11.39318051355287,-58.356819486447144,4.0
1996-06-01,73.91666666666667,-26.362266535058247,-10.554400131608425,37.0
1996-07-01,72.49999999999999,-43.68532181059588,-22.814678189404106,6.0
1996-08-01,68.16666666666666,-39.061233268929215,-9.105433397737443,20.0
1996-09-01,63.70833333333332,17.851174325156812,81.44049234150987,163.0
1996-10-01,60.541666666666664,43.24324421762993,-17.784910884296593,86.0
1996-11-01,59.45833333333333,42.67523346494175,-3.1335667982750763,99.0
1996-12-01,63.12499999999999,16.494991529457884,63.380008470542116,143.0
1997-01-01,66.70833333333333,13.72536787354391,45.56629879312276,126.0
1997-02-01,67.625,-5.49600309419803,-57.12899690580197,5.0
1997-03-01,61.75,-12.15393320172491,-48.59606679827509,1.0
1997-04-01,53.958333333333336,4.161927013328851,-37.120260346662185,21.0
1997-05-01,51.20833333333333,-11.39318051355287,-30.815152819780458,9.0
1997-06-01,46.45833333333333,-26.362266535058247,99.90393320172493,120.0
1997-07-01,39.62499999999999,-43.68532181059588,13.060321810595887,9.0
1997-08-01,35.95833333333333,-39.061233268929215,42.102899935595886,39.0
