,forecast_mean,lower bound 95%,upper bound 95%
2023-06-01,19.76095571786697,0.0,126.37085453403165
2023-07-01,5.024122977995916,0.0,111.63402179416062
2023-08-01,21.22044600654108,0.0,127.83034482270578
2023-09-01,38.986585182449865,0.0,145.59648399861456
2023-10-01,46.34306221711207,0.0,152.95296103327675
2023-11-01,76.74895210740928,0.0,183.35885092357395
2023-12-01,84.43729909974581,0.0,191.04719791591046
2024-01-01,16.222818467510365,0.0,122.83271728367501
