time,trend,seasonal,residual,time_series
1985-03-01,14.67916666666667,-4.512960959757835,-0.7662057069088357,9.4
1985-04-01,14.891666666666662,-2.525148459757835,0.9334817930911736,13.3
1985-05-01,14.783333333333331,1.262039040242165,-0.9453723735754969,15.1
1985-06-01,14.591666666666665,4.976726540242165,-0.06839320690883,19.5
1985-07-01,14.766666666666664,7.873184873575499,1.1601484597578375,23.8
1985-08-01,14.808333333333332,8.189330706908832,-0.9976640402421637,22.0
1985-09-01,14.704166666666666,4.994966390669515,1.7008669426638177,21.4
1985-10-01,14.683333333333335,1.317872373575499,1.2987942930911665,17.3
1985-11-01,14.745833333333334,-2.7311901264245013,-2.614643206908832,9.4
1985-12-01,14.8875,-5.502752626424502,0.015252626424502758,9.4
1986-01-01,14.875,-6.698377626424501,1.2233776264245018,9.4
1986-02-01,14.8875,-6.643690126424501,-2.3438098735754975,5.9
1986-03-01,14.870833333333334,-4.512960959757835,0.14212762642450105,10.5
1986-04-01,14.933333333333334,-2.525148459757835,-0.7081848735754992,11.7
1986-05-01,15.204166666666667,1.262039040242165,1.7337942930911667,18.2
1986-06-01,15.3625,4.976726540242165,-0.539226540242165,19.8
1986-07-01,15.258333333333335,7.873184873575499,0.06848179309116542,23.2
1986-08-01,15.241666666666667,8.189330706908832,-0.5309973735755005,22.9
1986-09-01,15.287499999999998,4.994966390669515,-0.18246639066951165,20.1
1986-10-01,15.308333333333334,1.317872373575499,3.473794293091169,20.1
1986-11-01,15.241666666666665,-2.7311901264245013,0.5895234597578356,13.1
1986-12-01,15.075000000000001,-5.502752626424502,-0.07224737357549937,9.5
1987-01-01,15.070833333333333,-6.698377626424501,-1.5724557069088307,6.8
1987-02-01,15.141666666666671,-6.643690126424501,-0.39797654024217,8.1
1987-03-01,15.270833333333334,-4.512960959757835,-1.357872373575499,9.4
1987-04-01,15.241666666666667,-2.525148459757835,0.5834817930911687,13.3
1987-05-01,15.075000000000001,1.262039040242165,-1.3370390402421661,15.0
1987-06-01,15.095833333333335,4.976726540242165,-1.0725598735755,19.0
1987-07-01,15.3125,7.873184873575499,0.7143151264244993,23.9
1987-08-01,15.483333333333334,8.189330706908832,0.22733595975783238,23.9
1987-09-01,15.479166666666668,4.994966390669515,1.7258669426638162,22.2
1987-10-01,15.425,1.317872373575499,0.5571276264245011,17.3
1987-11-01,15.304166666666665,-2.7311901264245013,-0.6729765402421637,11.9
1987-12-01,15.225,-5.502752626424502,1.4777526264245013,11.2
1988-01-01,15.220833333333333,-6.698377626424501,1.777544293091169,10.3
1988-02-01,15.179166666666664,-6.643690126424501,0.1645234597578371,8.7
1988-03-01,15.049999999999999,-4.512960959757835,-1.837039040242165,8.7
1988-04-01,14.941666666666665,-2.525148459757835,0.2834817930911697,12.7
1988-05-01,15.166666666666664,1.262039040242165,-3.72870570690883,12.7
1988-06-01,15.320833333333331,4.976726540242165,-0.8975598735754975,19.4
1988-07-01,15.208333333333332,7.873184873575499,0.3184817930911672,23.4
1988-08-01,15.191666666666666,8.189330706908832,0.019002626424500235,23.4
1988-09-01,15.375,4.994966390669515,-0.7699663906695138,19.6
1988-10-01,15.516666666666664,1.317872373575499,0.46546095975783786,17.3
1988-11-01,15.7125,-2.7311901264245013,4.318690126424501,17.3
1988-12-01,15.858333333333334,-5.502752626424502,-0.8555807069088326,9.5
1989-01-01,15.558333333333332,-6.698377626424501,0.4400442930911703,9.3
1989-02-01,15.333333333333334,-6.643690126424501,0.6103567930911682,9.3
1989-03-01,15.358333333333334,-4.512960959757835,1.6546276264245003,12.5
1989-04-01,15.333333333333334,-2.525148459757835,-0.5081848735754981,12.3
1989-05-01,15.066666666666665,1.262039040242165,1.471294293091171,17.8
1989-06-01,14.891666666666667,4.976726540242165,-2.0683932069088318,17.8
1989-07-01,14.933333333333332,7.873184873575499,-5.00651820690883,17.8
1989-08-01,14.91666666666667,8.189330706908832,0.4940026264244999,23.6
1989-09-01,14.879166666666666,4.994966390669515,0.12586694266381837,20.0
1989-10-01,14.858333333333334,1.317872373575499,0.12379429309116752,16.3
1989-11-01,14.645833333333336,-2.7311901264245013,-0.014643206908834028,11.9
1989-12-01,14.20416666666667,-5.502752626424502,1.9985859597578317,10.7
1990-01-01,14.195833333333336,-6.698377626424501,1.6025442930911646,9.1
1990-02-01,14.420833333333334,-6.643690126424501,1.3228567930911668,9.1
1990-03-01,14.595833333333333,-4.512960959757835,1.7171276264245021,11.8
1990-04-01,14.812500000000002,-2.525148459757835,0.2126484597578333,12.5
1990-05-01,14.85,1.262039040242165,-3.6120390402421645,12.5
1990-06-01,14.700000000000001,4.976726540242165,-7.176726540242166,12.5
1990-07-01,14.558333333333335,7.873184873575499,0.468481793091164,22.9
1990-08-01,14.479166666666664,8.189330706908832,1.2315026264245024,23.9
1990-09-01,14.429166666666667,4.994966390669515,4.475866942663816,23.9
1990-10-01,14.437499999999998,1.317872373575499,1.8446276264245043,17.6
1990-11-01,14.508333333333333,-2.7311901264245013,-0.27714320690883154,11.5
1990-12-01,14.85833333333333,-5.502752626424502,-1.855580706908829,7.5
1991-01-01,15.15,-6.698377626424501,0.4483776264245014,8.9
1991-02-01,15.183333333333334,-6.643690126424501,-1.1396432069088318,7.4
1991-03-01,15.099999999999998,-4.512960959757835,1.7129609597578375,12.3
1991-04-01,14.899999999999999,-2.525148459757835,-0.1748515402421642,12.2
1991-05-01,14.783333333333335,1.262039040242165,-1.5453723735755,14.5
1991-06-01,14.933333333333334,4.976726540242165,-1.0100598735755,18.9
1991-07-01,15.091666666666669,7.873184873575499,0.5351484597578322,23.5
1991-08-01,15.170833333333334,8.189330706908832,0.7398359597578352,24.1
1991-09-01,15.200000000000001,4.994966390669515,1.505033609330483,21.7
1991-10-01,15.104166666666664,1.317872373575499,-1.4220390402421632,15.0
1991-11-01,15.229166666666668,-2.7311901264245013,-1.1979765402421658,11.3
1991-12-01,15.3875,-5.502752626424502,1.4152526264245031,11.3
